순위,역명,일평균승하차인원
1,강남,205,229
2,잠실(2),170442
3,홍대입구,167822
4,신림,140463
5,구로디지털단지,126963
6,삼성,120704
7,고속터미널(3),120408
8,신도림,118084
9,서울역(1),111218
10,서울대입구,106052
11,선릉,102671
12,역삼,100017
13,을지로입구,99876
14,신촌,96378
15,건대입구(2),93919
16,사당(2),92868
17,강변,90541
18,종각,85757
19,혜화,84260
20,양재,83772
21,연신내(3),82767
22,가산디지털단지(7),79873
23,명동,79553
24,교대(2),77164
25,수유,76697
26,광화문,71444
27,남부터미널,70840
28,합정(2),70070
29,압구정,69717
30,신사,68740
31,종로3가(1),67688
32,회현,63552
33,충무로(4),63420
34,쌍문,62658
35,창동,60614
36,대림(2),60248
37,성수,60046
38,미아사거리,59828
39,까치산(5),59650
40,낙성대,59439
41,화곡,58545
42,신대방,57145
43,사당(4),55969
44,종로5가,54437
45,광명사거리,52935
46,청량리,52506
47,시청(1),51106
48,경복궁,50741
49,잠실새내,50618
50,오목교,50497
51,동대문(4),50274
52,안국,50093
53,시청(2),49673
54,철산,49203
55,여의도(5),49194
56,봉천,48478
57,성신여대입구,48189
58,구의,48136
59,노원(4),47847
60,당산,47158
61,길음,46344
62,이수(총신대입구),45785
63,서초,45775
64,을지로3가(2),45545
65,노원(7),44612
66,영등포구청(2),44449
67,동대문역사문화공원(4),43763
68,학동,43692
69,구파발,42128
70,청담,41890
71,동대문역사문화공원(2),41840
72,천호(5),41688
73,제기동,41584
74,이대,41014
75,상계,40550
76,문래,40276
77,불광(3),40183
78,방배,40089
79,논현,39883
80,천호(8),39762
81,목동,39046
82,고속터미널(7),38991
83,하계,38658
84,홍제,38469
85,뚝섬,38429
86,강동,38183
87,문정,37966
88,장한평,37547
89,장지,37503
90,수서,37365
91,발산,36984
92,서울역(4),36869
93,왕십리(2),36613
94,공덕(6),36443
95,응암,36388
96,서대문,35969
97,암사,35696
98,잠실(8),34845
99,상봉(7),34666
100,건대입구(7),34168
101,이태원,34107
102,이수(7),34062
103,신대방삼거리,33638
104,미아,33537
105,종로3가(5),33521
106,신용산,33519
107,남구로,33339
108,답십리,33132
109,사가정,32656
110,잠실나루,32508
111,숙대입구,32495
112,한성대입구,32364
113,면목,32326
114,신설동(1),32044
115,동대문(1),31833
116,어린이대공원,31789
117,강남구청,31555
118,우장산,31481
119,중계,31099
120,신당(2),30894
121,숭실대입구,30796
122,아차산,30288
